viraaj.sn|1
shaurya_guy|1
asavari_agrwl08|1
arushipaul_|1
saanvihuria|1
aahil_at|1
ishanth_ofsketchiesville|1
veerangadarya|0
shishirs_22|1
aanyapsinha|0
preranadpk|0
myradhanda_|1
urvi.gadiya|0
meghna._b|0
nishka_124|0
vedantroy.footballkid|1
a.n.a_0501|0
myselfaashi|0
ahy._.081107|0
skapoop.nil|1
haz_2128|1
akshay_psat|0
bhasin_bhai|0
_nadia_0226|0
karnika1030|1
raahil_gore|1
yxsh_arora26|0
satvixkxk_19|-1
kenishaantony|-1
rahiannaa|-1
mihiragujral|-1
goelakshaj|1
asafari_08|1
miniwoooo|-1
vanya_nath31|-1
nandsrockz|-1
krisha_chintal|-1
itsadi_1301|-1
_vivaan_jain|-1
antaradoesntmiss|-1
sanjanabaweja04|0
kabir.thru.the.lens|-1
aadi.g2709|-1
deeya_kapur_18|-1
sahil_mitt|-1
nakulsriniivas|-1
aarav._.99|-1
uma04100|-1
swapna_aditya_13|-1
kmxgzz__|-1
anshikaminocha|-1
adrikssssssss|-1
kyssharan|-1
kuppachiaaryan|-1
borris_datguy|-1
kurt.c0ca1ne|-1
arandommachineop|-1
aadithwrld|-1
purvaja.v|0
nitya_.nair|-1
surabhi_1609|-1
dudewholikeskorn|-1
dakshdoeslife|-1
kiahhh_1902|-1
vai_412|-1
dheepak_legend|-1
nathangeorgek|-1
_tiabali1303|-1
aar_a.a|-1
rohan_dabob|-1
macaronisunshine_vomit|-1
seaweed_17|-1
maybeviaan|-1
siyonamathur|-1
kumdeedoo|-1
heyitspran|-1
arushi.p_354|-1
sargun_idk|-1
__zaariaaa|0
nr__1007|0
aaroh.i8736|0
itz_nitya08|0
n1hal_2008|0
rn__0405|-1
im.divit|0
a_beer_pls|0
jimothy_soyster40|-1
very_scrt|1
twixxaxxnxxnxxa|0
mehrrr.spamm|0
mehrsarkaria_|-1
my_life_as_the_goat|0
ash.spamnzzz|0
justy_boiiii|1
vedant1z|0
aisha._.43|1
homeless_rat_with_a_bad_cut|0
aditi369_28|0
namay_marda|0
shot.by.kabir|1
aarav_spamarm|0
jai_13717|0
dhany4rai|0
diya_b.m|0
_aditii_k_|0
casuallycrueltbh|0
mihira.spammmm|0
itsstillumatrust|0
ashishg__|0
aarav_does_art345|1
inv_confessions|-1
dakshavivek.art|1
teddybear_the_great|0
secretly_mercutio|0
adi_sundar|0
_owngalaxy|1
kaya_dalu|0
venkidoesntcare26|0
anirudhseethamsetti|0
aerin_cumer|1
suchir_ranjan|0
timithy_.oyster|0
medha31109|0
cxbain._|0
legos.r.on|1
aoul.axx|0
sciencezen|1
bigdaddyinferno_|0
aarav_loves_life|1
charvi_anand.8|0
johannullattil|0
arinvugane2308|0
just_pratu|0
vachan_the_great|1
_heyhenry_|0
shubharora_|0
aj_ann_18|0
riya_reddem|0
aryandineshh_|0
gunnjan_007|0
natashaaghose|0
butter_lassi|0
kaashvi.18|0
vinay._.shukla|1
nimali_kalyan|1
krisha_.00|0
rishika._.1210|0
vidur_24|0
kavya07m|-1
_adu2008|1
akshita_angelic|0
deeshan_chawla|0
11_ishaan|0
nivedita_rajendra13|0
sahil_b11|0
tiw._.aashi|0
sohvi.mw|0
big_singh_h|-1
whyiseverythingtakenduh|0
legit.vish|0
saanvwii|0
anoushka_vasal|0
rhea.m15|0
suhani._.503|0
tanmayavipin|0
killstreck_101|0
advikasrinivasan|1
kriti.maturu|-1
_.karax|-1
diya_1910|-1
myrajain16|-1
sarachaudhuri|-1
shrivalli_16|1
